iter	Passed	Remaining
0	105	211262
1	117	117326
2	128	85208
3	139	69516
4	164	65618
5	174	57885
6	184	52508
7	192	47909
8	210	46500
9	218	43428
10	226	41009
11	234	38917
12	254	38897
13	264	37457
14	275	36395
15	288	35804
16	309	36141
17	348	38394
18	358	37429
19	383	37995
20	401	37843
21	414	37241
22	426	36657
23	436	35960
24	458	36227
25	468	35562
26	475	34711
27	485	34173
28	504	34283
29	514	33769
30	525	33396
31	533	32838
32	554	33079
33	564	32654
34	572	32160
35	579	31605
36	594	31565
37	602	31129
38	611	30743
39	622	30526
40	640	30583
41	648	30247
42	656	29861
43	663	29501
44	678	29497
45	686	29160
46	694	28846
47	701	28547
48	720	28700
49	729	28457
50	737	28169
51	745	27940
52	762	28001
53	773	27875
54	781	27623
55	787	27336
56	801	27336
57	808	27085
58	815	26831
59	823	26620
60	839	26670
61	846	26471
62	853	26252
63	861	26062
64	880	26201
65	887	26011
66	895	25849
67	903	25665
68	919	25737
69	929	25640
70	936	25442
71	943	25262
72	958	25313
73	965	25138
74	972	24967
75	979	24805
76	998	24928
77	1005	24780
78	1015	24683
79	1022	24536
80	1040	24645
81	1049	24557
82	1060	24493
83	1069	24384
84	1086	24482
85	1095	24383
86	1106	24341
87	1114	24222
88	1132	24310
89	1140	24194
90	1147	24076
91	1156	23976
92	1174	24084
93	1188	24090
94	1199	24045
95	1207	23958
96	1224	24031
97	1233	23943
98	1241	23834
99	1249	23746
100	1267	23828
101	1276	23757
102	1286	23691
103	1295	23614
104	1310	23654
105	1319	23578
106	1326	23473
107	1335	23388
108	1351	23443
109	1361	23393
110	1369	23309
111	1376	23209
112	1392	23258
113	1400	23177
114	1409	23099
115	1416	23003
116	1437	23131
117	1447	23088
118	1456	23017
119	1464	22943
120	1481	23002
121	1489	22921
122	1498	22864
123	1507	22809
124	1527	22915
125	1538	22877
126	1549	22850
127	1556	22764
128	1574	22840
129	1587	22832
130	1596	22773
131	1607	22753
132	1631	22903
133	1645	22907
134	1655	22869
135	1661	22778
136	1683	22895
137	1696	22893
138	1709	22885
139	1718	22830
140	1736	22888
141	1745	22836
142	1755	22794
143	1765	22757
144	1788	22878
145	1798	22842
146	1807	22787
147	1817	22737
148	1832	22767
149	1838	22675
150	1845	22603
151	1854	22543
152	1870	22576
153	1878	22519
154	1890	22506
155	1902	22489
156	1921	22553
157	1931	22514
158	1940	22471
159	1949	22414
160	1965	22455
161	1975	22415
162	1985	22380
163	1998	22369
164	2015	22409
165	2021	22339
166	2032	22311
167	2043	22281
168	2061	22332
169	2071	22300
170	2081	22267
171	2095	22275
172	2112	22308
173	2120	22254
174	2130	22215
175	2140	22182
176	2155	22204
177	2163	22149
178	2171	22096
179	2178	22032
180	2196	22072
181	2206	22038
182	2216	22004
183	2223	21942
184	2240	21981
185	2249	21939
186	2258	21893
187	2265	21837
188	2281	21863
189	2293	21846
190	2302	21805
191	2308	21743
192	2326	21785
193	2334	21732
194	2342	21680
195	2348	21619
196	2365	21647
197	2371	21586
198	2378	21525
199	2387	21488
200	2406	21542
201	2418	21523
202	2427	21486
203	2433	21428
204	2452	21475
205	2460	21427
206	2468	21379
207	2479	21362
208	2494	21378
209	2503	21340
210	2511	21290
211	2518	21243
212	2533	21253
213	2541	21212
214	2550	21178
215	2556	21114
216	2573	21148
217	2584	21123
218	2594	21095
219	2606	21085
220	2619	21089
221	2628	21051
222	2638	21022
223	2645	20976
224	2664	21016
225	2672	20981
226	2680	20936
227	2688	20897
228	2709	20954
229	2718	20920
230	2725	20872
231	2733	20831
232	2750	20856
233	2761	20840
234	2771	20813
235	2778	20767
236	2793	20783
237	2800	20732
238	2806	20682
239	2814	20640
240	2829	20654
241	2837	20611
242	2844	20569
243	2858	20570
244	2873	20584
245	2881	20548
246	2888	20498
247	2895	20452
248	2912	20482
249	2921	20448
250	2929	20411
251	2941	20400
252	2957	20422
253	2966	20394
254	2974	20357
255	2982	20321
256	3000	20347
257	3008	20312
258	3015	20272
259	3024	20239
260	3039	20254
261	3046	20211
262	3054	20176
263	3063	20145
264	3079	20164
265	3088	20134
266	3097	20106
267	3106	20077
268	3129	20135
269	3146	20160
270	3158	20152
271	3171	20145
272	3189	20173
273	3200	20163
274	3210	20137
275	3227	20161
276	3244	20180
277	3253	20153
278	3269	20166
279	3280	20150
280	3297	20172
281	3309	20160
282	3321	20149
283	3336	20158
284	3353	20181
285	3363	20156
286	3374	20141
287	3384	20120
288	3404	20157
289	3412	20121
290	3424	20108
291	3438	20112
292	3458	20150
293	3468	20128
294	3477	20096
295	3485	20063
296	3502	20082
297	3511	20053
298	3517	20010
299	3527	19988
300	3543	20004
301	3554	19982
302	3562	19950
303	3574	19941
304	3590	19956
305	3599	19925
306	3608	19897
307	3616	19865
308	3632	19878
309	3639	19842
310	3650	19823
311	3659	19799
312	3675	19807
313	3683	19775
314	3690	19743
315	3700	19722
316	3721	19760
317	3733	19747
318	3743	19726
319	3753	19704
320	3768	19712
321	3778	19690
322	3785	19655
323	3792	19619
324	3809	19632
325	3818	19609
326	3826	19576
327	3835	19553
328	3850	19558
329	3860	19534
330	3866	19495
331	3874	19463
332	3892	19485
333	3901	19460
334	3908	19424
335	3914	19386
336	3933	19412
337	3941	19381
338	3949	19352
339	3959	19330
340	3974	19335
341	3982	19309
342	3994	19297
343	4008	19295
344	4024	19303
345	4032	19278
346	4043	19263
347	4050	19226
348	4066	19239
349	4075	19212
350	4084	19190
351	4093	19162
352	4107	19166
353	4116	19139
354	4124	19110
355	4131	19079
356	4147	19087
357	4158	19072
358	4169	19057
359	4178	19035
360	4194	19043
361	4201	19011
362	4210	18988
363	4218	18958
364	4233	18963
365	4245	18954
366	4253	18927
367	4263	18909
368	4283	18934
369	4290	18902
370	4302	18890
371	4314	18879
372	4331	18891
373	4338	18862
374	4346	18833
375	4353	18805
376	4372	18824
377	4379	18792
378	4388	18768
379	4397	18748
380	4414	18760
381	4425	18743
382	4433	18716
383	4440	18687
384	4458	18701
385	4468	18684
386	4474	18650
387	4481	18619
388	4497	18626
389	4506	18603
390	4512	18568
391	4520	18543
392	4536	18548
393	4547	18536
394	4560	18532
395	4569	18507
396	4585	18513
397	4593	18488
398	4601	18464
399	4608	18435
400	4625	18446
401	4633	18419
402	4641	18391
403	4650	18373
404	4666	18379
405	4674	18351
406	4680	18319
407	4687	18291
408	4704	18300
409	4712	18273
410	4720	18251
411	4727	18222
412	4744	18229
413	4751	18202
414	4759	18179
415	4766	18148
416	4780	18148
417	4792	18136
418	4800	18114
419	4808	18090
420	4829	18113
421	4837	18087
422	4846	18067
423	4854	18043
424	4869	18045
425	4881	18034
426	4888	18008
427	4896	17985
428	4913	17991
429	4924	17981
430	4933	17958
431	4939	17928
432	4958	17942
433	4965	17918
434	4972	17890
435	4980	17865
436	4995	17866
437	5001	17836
438	5009	17813
439	5016	17786
440	5032	17791
441	5040	17766
442	5047	17740
443	5054	17713
444	5070	17717
445	5080	17703
446	5090	17686
447	5097	17659
448	5112	17659
449	5120	17637
450	5131	17623
451	5138	17596
452	5154	17603
453	5162	17580
454	5171	17558
455	5178	17533
456	5194	17539
457	5204	17523
458	5212	17499
459	5220	17477
460	5236	17479
461	5243	17456
462	5250	17430
463	5261	17417
464	5277	17422
465	5285	17399
466	5294	17379
467	5302	17358
468	5318	17361
469	5326	17339
470	5335	17319
471	5343	17298
472	5358	17300
473	5364	17272
474	5376	17260
475	5388	17253
476	5407	17265
477	5415	17243
478	5422	17218
479	5432	17201
480	5448	17207
481	5456	17184
482	5464	17161
483	5470	17134
484	5484	17133
485	5491	17106
486	5498	17082
487	5506	17059
488	5522	17064
489	5528	17037
490	5535	17011
491	5542	16989
492	5557	16989
493	5565	16966
494	5571	16938
495	5583	16931
496	5602	16942
497	5611	16925
498	5619	16904
499	5627	16881
500	5643	16884
501	5651	16863
502	5657	16836
503	5664	16812
504	5679	16812
505	5688	16794
506	5694	16769
507	5702	16748
508	5718	16749
509	5726	16729
510	5732	16703
511	5740	16682
512	5762	16704
513	5769	16680
514	5777	16660
515	5785	16638
516	5800	16639
517	5811	16625
518	5818	16603
519	5831	16596
520	5849	16604
521	5860	16592
522	5866	16568
523	5876	16552
524	5895	16564
525	5903	16544
526	5915	16533
527	5922	16510
528	5940	16519
529	5946	16494
530	5955	16474
531	5964	16457
532	5981	16462
533	5987	16438
534	5994	16413
535	6000	16389
536	6016	16390
537	6022	16366
538	6028	16341
539	6036	16321
540	6052	16323
541	6060	16302
542	6067	16279
543	6075	16261
544	6092	16266
545	6102	16251
546	6111	16234
547	6122	16222
548	6138	16223
549	6147	16207
550	6156	16191
551	6166	16174
552	6182	16176
553	6191	16160
554	6202	16149
555	6211	16131
556	6236	16156
557	6248	16148
558	6259	16135
559	6266	16114
560	6284	16118
561	6294	16104
562	6302	16085
563	6310	16067
564	6328	16074
565	6336	16054
566	6345	16037
567	6360	16034
568	6378	16041
569	6389	16029
570	6397	16010
571	6404	15988
572	6421	15992
573	6432	15979
574	6440	15961
575	6448	15941
576	6467	15949
577	6473	15925
578	6478	15900
579	6485	15879
580	6500	15877
581	6506	15853
582	6515	15836
583	6525	15821
584	6540	15820
585	6551	15808
586	6559	15789
587	6571	15780
588	6594	15796
589	6601	15777
590	6610	15759
591	6617	15739
592	6635	15744
593	6649	15739
594	6657	15721
595	6666	15704
596	6682	15703
597	6690	15685
598	6698	15666
599	6705	15646
600	6721	15645
601	6728	15625
602	6741	15618
603	6751	15604
604	6771	15612
605	6780	15597
606	6787	15577
607	6794	15554
608	6810	15556
609	6823	15547
610	6831	15531
611	6841	15515
612	6857	15515
613	6866	15498
614	6874	15481
615	6882	15462
616	6903	15474
617	6912	15457
618	6918	15435
619	6927	15419
620	6945	15424
621	6952	15402
622	6962	15388
623	6969	15369
624	6985	15368
625	6993	15349
626	7003	15335
627	7015	15327
628	7032	15327
629	7041	15312
630	7049	15294
631	7056	15273
632	7071	15272
633	7079	15252
634	7089	15239
635	7097	15221
636	7111	15216
637	7118	15195
638	7124	15173
639	7132	15155
640	7148	15156
641	7156	15136
642	7168	15128
643	7177	15113
644	7198	15121
645	7207	15105
646	7219	15096
647	7228	15081
648	7243	15077
649	7250	15059
650	7260	15044
651	7268	15028
652	7288	15034
653	7300	15024
654	7312	15015
655	7321	14999
656	7337	14999
657	7347	14984
658	7355	14968
659	7364	14952
660	7379	14948
661	7389	14934
662	7396	14916
663	7402	14894
664	7419	14894
665	7427	14877
666	7434	14858
667	7444	14844
668	7469	14860
669	7477	14844
670	7485	14826
671	7495	14813
672	7510	14809
673	7518	14791
674	7524	14769
675	7531	14750
676	7547	14749
677	7555	14731
678	7563	14714
679	7571	14697
680	7589	14699
681	7595	14678
682	7603	14662
683	7613	14647
684	7628	14645
685	7644	14641
686	7654	14628
687	7661	14610
688	7677	14608
689	7689	14598
690	7697	14582
691	7707	14569
692	7723	14566
693	7732	14550
694	7739	14532
695	7748	14517
696	7765	14516
697	7776	14505
698	7784	14488
699	7793	14473
700	7810	14473
701	7820	14460
702	7827	14442
703	7834	14423
704	7850	14420
705	7859	14405
706	7867	14388
707	7875	14371
708	7894	14374
709	7904	14361
710	7916	14352
711	7924	14335
712	7940	14333
713	7950	14320
714	7958	14303
715	7966	14286
716	7983	14285
717	7991	14268
718	7998	14250
719	8009	14238
720	8026	14238
721	8033	14219
722	8039	14200
723	8046	14181
724	8062	14179
725	8070	14163
726	8077	14143
727	8084	14124
728	8099	14121
729	8107	14104
730	8115	14087
731	8123	14071
732	8139	14069
733	8148	14053
734	8155	14035
735	8168	14029
736	8184	14025
737	8197	14017
738	8208	14005
739	8218	13992
740	8233	13989
741	8241	13972
742	8250	13958
743	8261	13947
744	8277	13943
745	8286	13929
746	8292	13910
747	8301	13894
748	8322	13900
749	8330	13884
750	8337	13865
751	8344	13848
752	8359	13843
753	8366	13826
754	8374	13810
755	8382	13792
756	8398	13790
757	8407	13776
758	8416	13761
759	8425	13746
760	8440	13742
761	8452	13732
762	8458	13713
763	8467	13698
764	8481	13692
765	8489	13676
766	8496	13658
767	8503	13640
768	8518	13635
769	8525	13617
770	8531	13599
771	8537	13580
772	8553	13577
773	8563	13564
774	8571	13549
775	8577	13529
776	8594	13528
777	8602	13512
778	8610	13496
779	8617	13478
780	8633	13474
781	8643	13462
782	8651	13446
783	8659	13431
784	8677	13431
785	8688	13419
786	8697	13405
787	8710	13398
788	8732	13402
789	8740	13388
790	8748	13371
791	8756	13355
792	8771	13350
793	8781	13337
794	8790	13323
795	8797	13307
796	8821	13315
797	8829	13299
798	8836	13282
799	8844	13266
800	8860	13263
801	8867	13245
802	8874	13229
803	8883	13214
804	8899	13211
805	8910	13200
806	8918	13184
807	8926	13168
808	8942	13165
809	8953	13154
810	8963	13141
811	8975	13132
812	8996	13135
813	9005	13120
814	9013	13105
815	9019	13087
816	9034	13081
817	9040	13063
818	9049	13050
819	9058	13035
820	9074	13031
821	9083	13016
822	9090	13001
823	9100	12987
824	9116	12984
825	9126	12971
826	9134	12956
827	9141	12939
828	9157	12935
829	9166	12921
830	9175	12907
831	9184	12893
832	9200	12889
833	9209	12875
834	9220	12864
835	9230	12851
836	9244	12845
837	9255	12834
838	9265	12821
839	9271	12803
840	9288	12801
841	9298	12788
842	9307	12774
843	9313	12756
844	9329	12751
845	9336	12735
846	9344	12720
847	9355	12709
848	9373	12707
849	9381	12692
850	9390	12679
851	9398	12663
852	9416	12661
853	9424	12647
854	9432	12631
855	9440	12617
856	9454	12610
857	9463	12596
858	9470	12579
859	9480	12567
860	9496	12562
861	9504	12547
862	9512	12533
863	9520	12517
864	9537	12514
865	9546	12501
866	9555	12487
867	9562	12471
868	9577	12464
869	9586	12451
870	9593	12435
871	9602	12421
872	9618	12417
873	9627	12403
874	9638	12392
875	9651	12384
876	9669	12381
877	9679	12369
878	9686	12353
879	9694	12339
880	9711	12335
881	9722	12324
882	9731	12310
883	9738	12293
884	9753	12288
885	9761	12273
886	9770	12259
887	9777	12244
888	9793	12238
889	9801	12224
890	9819	12222
891	9827	12207
892	9842	12201
893	9851	12187
894	9859	12172
895	9864	12154
896	9880	12149
897	9887	12133
898	9894	12118
899	9902	12103
900	9920	12100
901	9927	12084
902	9935	12069
903	9942	12054
904	9959	12050
905	9967	12035
906	9974	12020
907	9982	12005
908	9998	12000
909	10006	11985
910	10015	11971
911	10022	11956
912	10036	11949
913	10044	11934
914	10056	11924
915	10066	11912
916	10083	11908
917	10090	11892
918	10096	11876
919	10105	11862
920	10120	11857
921	10130	11844
922	10138	11829
923	10146	11815
924	10162	11809
925	10171	11796
926	10181	11784
927	10189	11770
928	10205	11764
929	10215	11752
930	10223	11738
931	10231	11724
932	10249	11722
933	10258	11708
934	10265	11692
935	10277	11682
936	10293	11677
937	10300	11662
938	10308	11648
939	10328	11647
940	10345	11643
941	10355	11630
942	10367	11620
943	10377	11608
944	10394	11604
945	10403	11590
946	10411	11576
947	10422	11565
948	10438	11560
949	10446	11545
950	10453	11530
951	10461	11516
952	10478	11512
953	10488	11500
954	10498	11488
955	10506	11473
956	10523	11468
957	10530	11453
958	10540	11441
959	10554	11433
960	10572	11430
961	10579	11415
962	10588	11401
963	10595	11386
964	10612	11382
965	10622	11370
966	10632	11357
967	10642	11345
968	10659	11341
969	10666	11325
970	10675	11312
971	10683	11298
972	10700	11294
973	10709	11281
974	10722	11272
975	10732	11260
976	10747	11253
977	10755	11239
978	10762	11224
979	10770	11210
980	10786	11204
981	10794	11190
982	10802	11175
983	10809	11160
984	10826	11156
985	10836	11144
986	10845	11130
987	10861	11125
988	10878	11120
989	10886	11106
990	10896	11094
991	10906	11082
992	10922	11076
993	10936	11068
994	10944	11054
995	10951	11039
996	10968	11034
997	10975	11019
998	10983	11005
999	10993	10993
1000	11007	10985
1001	11017	10973
1002	11024	10958
1003	11032	10944
1004	11048	10938
1005	11055	10924
1006	11071	10917
1007	11077	10901
1008	11092	10894
1009	11099	10880
1010	11106	10864
1011	11113	10850
1012	11130	10844
1013	11138	10831
1014	11146	10816
1015	11152	10801
1016	11169	10795
1017	11177	10781
1018	11185	10767
1019	11193	10754
1020	11207	10746
1021	11214	10731
1022	11222	10718
1023	11230	10704
1024	11246	10697
1025	11254	10684
1026	11263	10671
1027	11270	10656
1028	11284	10648
1029	11291	10633
1030	11298	10619
1031	11305	10604
1032	11320	10597
1033	11329	10584
1034	11337	10570
1035	11345	10556
1036	11361	10550
1037	11378	10545
1038	11387	10532
1039	11398	10521
1040	11418	10518
1041	11428	10507
1042	11437	10494
1043	11445	10480
1044	11464	10477
1045	11473	10464
1046	11479	10448
1047	11485	10433
1048	11504	10430
1049	11513	10417
1050	11521	10403
1051	11531	10391
1052	11546	10384
1053	11556	10372
1054	11566	10360
1055	11573	10346
1056	11588	10338
1057	11600	10328
1058	11606	10313
1059	11613	10298
1060	11629	10292
1061	11639	10280
1062	11648	10267
1063	11655	10253
1064	11670	10246
1065	11679	10233
1066	11688	10220
1067	11695	10206
1068	11714	10202
1069	11728	10194
1070	11741	10184
1071	11749	10171
1072	11764	10163
1073	11774	10152
1074	11784	10140
1075	11791	10125
1076	11807	10119
1077	11818	10108
1078	11827	10095
1079	11834	10081
1080	11848	10073
1081	11856	10059
1082	11863	10044
1083	11871	10031
1084	11889	10026
1085	11896	10012
1086	11906	10000
1087	11915	9987
1088	11930	9980
1089	11940	9968
1090	11949	9956
1091	11956	9942
1092	11972	9935
1093	11982	9922
1094	11988	9908
1095	11997	9895
1096	12012	9888
1097	12019	9874
1098	12025	9859
1099	12033	9845
1100	12050	9839
1101	12059	9826
1102	12066	9812
1103	12072	9798
1104	12089	9792
1105	12107	9786
1106	12116	9773
1107	12125	9761
1108	12143	9756
1109	12151	9742
1110	12156	9727
1111	12163	9713
1112	12179	9706
1113	12188	9693
1114	12195	9679
1115	12205	9668
1116	12222	9661
1117	12231	9649
1118	12241	9637
1119	12253	9628
1120	12269	9620
1121	12278	9608
1122	12285	9593
1123	12293	9580
1124	12308	9573
1125	12318	9561
1126	12327	9548
1127	12337	9537
1128	12352	9529
1129	12361	9516
1130	12370	9504
1131	12378	9491
1132	12395	9485
1133	12403	9471
1134	12409	9457
1135	12417	9444
1136	12433	9437
1137	12440	9422
1138	12448	9410
1139	12455	9396
1140	12471	9389
1141	12479	9376
1142	12486	9362
1143	12495	9350
1144	12512	9343
1145	12521	9330
1146	12527	9316
1147	12536	9304
1148	12551	9296
1149	12561	9284
1150	12568	9270
1151	12574	9256
1152	12590	9248
1153	12598	9235
1154	12604	9221
1155	12612	9208
1156	12630	9202
1157	12636	9187
1158	12645	9175
1159	12653	9163
1160	12669	9155
1161	12676	9141
1162	12683	9127
1163	12689	9113
1164	12707	9107
1165	12714	9093
1166	12721	9080
1167	12729	9067
1168	12748	9062
1169	12757	9049
1170	12766	9037
1171	12775	9025
1172	12791	9018
1173	12798	9004
1174	12807	8992
1175	12816	8980
1176	12835	8975
1177	12843	8961
1178	12850	8948
1179	12861	8937
1180	12879	8931
1181	12888	8919
1182	12897	8906
1183	12906	8894
1184	12937	8897
1185	12948	8887
1186	12957	8874
1187	12964	8861
1188	12982	8854
1189	12988	8840
1190	12995	8827
1191	13005	8815
1192	13023	8809
1193	13032	8797
1194	13041	8785
1195	13050	8773
1196	13067	8766
1197	13077	8754
1198	13087	8743
1199	13096	8730
1200	13114	8724
1201	13122	8712
1202	13129	8698
1203	13137	8685
1204	13153	8678
1205	13161	8665
1206	13167	8651
1207	13177	8639
1208	13194	8632
1209	13202	8619
1210	13209	8606
1211	13216	8593
1212	13233	8586
1213	13242	8573
1214	13250	8560
1215	13258	8548
1216	13273	8539
1217	13281	8527
1218	13293	8516
1219	13303	8505
1220	13323	8500
1221	13332	8488
1222	13348	8480
1223	13356	8468
1224	13371	8459
1225	13379	8446
1226	13385	8432
1227	13392	8419
1228	13410	8413
1229	13421	8402
1230	13430	8390
1231	13437	8376
1232	13461	8373
1233	13470	8361
1234	13478	8348
1235	13485	8335
1236	13501	8327
1237	13509	8315
1238	13516	8302
1239	13525	8289
1240	13541	8282
1241	13550	8269
1242	13563	8260
1243	13570	8246
1244	13588	8240
1245	13595	8226
1246	13603	8214
1247	13610	8201
1248	13627	8194
1249	13637	8182
1250	13645	8169
1251	13657	8159
1252	13672	8150
1253	13678	8137
1254	13687	8125
1255	13694	8111
1256	13712	8105
1257	13719	8092
1258	13727	8079
1259	13734	8066
1260	13751	8059
1261	13762	8048
1262	13773	8037
1263	13782	8024
1264	13798	8017
1265	13806	8004
1266	13814	7992
1267	13823	7980
1268	13851	7979
1269	13858	7966
1270	13866	7953
1271	13872	7939
1272	13887	7930
1273	13896	7919
1274	13904	7906
1275	13913	7894
1276	13929	7886
1277	13940	7875
1278	13947	7862
1279	13961	7853
1280	13980	7847
1281	13987	7833
1282	13993	7819
1283	13999	7806
1284	14017	7799
1285	14024	7786
1286	14034	7775
1287	14041	7762
1288	14057	7754
1289	14066	7742
1290	14074	7729
1291	14082	7717
1292	14101	7710
1293	14110	7698
1294	14120	7687
1295	14128	7674
1296	14144	7666
1297	14154	7655
1298	14161	7641
1299	14172	7631
1300	14189	7623
1301	14195	7610
1302	14202	7597
1303	14208	7583
1304	14224	7575
1305	14232	7563
1306	14241	7550
1307	14250	7538
1308	14266	7531
1309	14275	7518
1310	14282	7506
1311	14290	7493
1312	14306	7485
1313	14314	7472
1314	14323	7461
1315	14332	7449
1316	14347	7440
1317	14357	7429
1318	14367	7417
1319	14375	7405
1320	14392	7397
1321	14400	7385
1322	14407	7372
1323	14415	7360
1324	14433	7352
1325	14439	7339
1326	14449	7328
1327	14458	7316
1328	14482	7312
1329	14489	7299
1330	14498	7287
1331	14506	7275
1332	14521	7266
1333	14531	7254
1334	14538	7242
1335	14546	7229
1336	14562	7221
1337	14577	7212
1338	14589	7202
1339	14608	7195
1340	14626	7187
1341	14635	7176
1342	14646	7165
1343	14654	7152
1344	14669	7143
1345	14678	7132
1346	14688	7120
1347	14696	7108
1348	14712	7100
1349	14723	7089
1350	14730	7076
1351	14740	7065
1352	14756	7056
1353	14764	7044
1354	14772	7031
1355	14782	7020
1356	14798	7011
1357	14805	6999
1358	14811	6986
1359	14819	6974
1360	14836	6965
1361	14845	6953
1362	14854	6942
1363	14863	6930
1364	14879	6921
1365	14887	6909
1366	14895	6897
1367	14903	6885
1368	14919	6876
1369	14927	6864
1370	14934	6851
1371	14942	6839
1372	14960	6831
1373	14970	6820
1374	14979	6808
1375	14986	6796
1376	15003	6788
1377	15017	6778
1378	15024	6766
1379	15032	6753
1380	15048	6745
1381	15057	6733
1382	15065	6721
1383	15073	6708
1384	15089	6700
1385	15098	6688
1386	15107	6676
1387	15115	6664
1388	15129	6655
1389	15140	6644
1390	15147	6631
1391	15155	6619
1392	15172	6611
1393	15181	6599
1394	15189	6587
1395	15197	6575
1396	15219	6569
1397	15228	6557
1398	15234	6544
1399	15241	6531
1400	15257	6523
1401	15265	6511
1402	15273	6499
1403	15280	6486
1404	15295	6477
1405	15306	6466
1406	15313	6454
1407	15320	6441
1408	15335	6432
1409	15345	6421
1410	15353	6408
1411	15360	6396
1412	15377	6388
1413	15384	6375
1414	15397	6365
1415	15404	6353
1416	15419	6344
1417	15427	6331
1418	15435	6319
1419	15441	6307
1420	15457	6298
1421	15466	6286
1422	15477	6275
1423	15485	6263
1424	15499	6254
1425	15509	6242
1426	15520	6232
1427	15529	6220
1428	15546	6211
1429	15555	6200
1430	15564	6188
1431	15574	6177
1432	15590	6168
1433	15601	6158
1434	15613	6147
1435	15623	6136
1436	15639	6127
1437	15647	6115
1438	15657	6104
1439	15666	6092
1440	15685	6084
1441	15691	6072
1442	15700	6060
1443	15710	6049
1444	15726	6040
1445	15735	6028
1446	15743	6016
1447	15749	6003
1448	15769	5996
1449	15775	5983
1450	15787	5973
1451	15795	5961
1452	15809	5951
1453	15817	5939
1454	15828	5928
1455	15835	5916
1456	15849	5906
1457	15861	5896
1458	15871	5885
1459	15879	5873
1460	15895	5864
1461	15905	5852
1462	15914	5841
1463	15926	5830
1464	15942	5821
1465	15950	5810
1466	15959	5798
1467	15966	5786
1468	15983	5777
1469	15991	5765
1470	15998	5753
1471	16009	5742
1472	16027	5734
1473	16037	5722
1474	16052	5713
1475	16062	5702
1476	16078	5693
1477	16087	5681
1478	16095	5669
1479	16104	5658
1480	16119	5648
1481	16127	5636
1482	16140	5626
1483	16148	5615
1484	16164	5605
1485	16174	5594
1486	16183	5583
1487	16190	5570
1488	16207	5562
1489	16218	5551
1490	16224	5538
1491	16235	5527
1492	16254	5519
1493	16261	5507
1494	16270	5495
1495	16276	5483
1496	16296	5475
1497	16304	5463
1498	16312	5451
1499	16322	5440
1500	16343	5433
1501	16352	5421
1502	16360	5409
1503	16367	5397
1504	16384	5388
1505	16395	5377
1506	16404	5366
1507	16415	5355
1508	16432	5346
1509	16442	5335
1510	16451	5324
1511	16463	5313
1512	16477	5303
1513	16487	5292
1514	16495	5280
1515	16504	5269
1516	16519	5259
1517	16536	5250
1518	16547	5239
1519	16571	5233
1520	16589	5224
1521	16598	5213
1522	16610	5202
1523	16620	5191
1524	16645	5184
1525	16652	5172
1526	16664	5161
1527	16670	5149
1528	16687	5140
1529	16696	5129
1530	16709	5118
1531	16715	5106
1532	16730	5096
1533	16740	5085
1534	16749	5073
1535	16755	5061
1536	16770	5051
1537	16781	5040
1538	16788	5029
1539	16796	5017
1540	16812	5007
1541	16818	4995
1542	16826	4983
1543	16833	4971
1544	16849	4962
1545	16859	4950
1546	16868	4939
1547	16877	4928
1548	16891	4918
1549	16897	4905
1550	16909	4895
1551	16918	4883
1552	16934	4874
1553	16947	4864
1554	16956	4852
1555	16968	4842
1556	16987	4833
1557	16996	4821
1558	17007	4810
1559	17014	4799
1560	17030	4789
1561	17040	4778
1562	17049	4766
1563	17059	4755
1564	17078	4747
1565	17088	4735
1566	17096	4724
1567	17121	4717
1568	17138	4707
1569	17152	4697
1570	17162	4686
1571	17172	4675
1572	17188	4665
1573	17198	4654
1574	17206	4642
1575	17215	4631
1576	17234	4622
1577	17244	4611
1578	17252	4599
1579	17262	4588
1580	17278	4579
1581	17287	4567
1582	17296	4556
1583	17304	4544
1584	17321	4535
1585	17327	4522
1586	17334	4511
1587	17346	4500
1588	17360	4490
1589	17366	4478
1590	17372	4466
1591	17385	4455
1592	17401	4446
1593	17411	4434
1594	17422	4424
1595	17432	4412
1596	17448	4403
1597	17458	4392
1598	17467	4380
1599	17474	4368
1600	17493	4359
1601	17503	4348
1602	17512	4337
1603	17518	4325
1604	17538	4316
1605	17546	4304
1606	17556	4293
1607	17562	4281
1608	17581	4272
1609	17590	4260
1610	17598	4249
1611	17605	4237
1612	17623	4228
1613	17632	4216
1614	17639	4205
1615	17662	4197
1616	17680	4187
1617	17688	4176
1618	17696	4164
1619	17705	4153
1620	17721	4143
1621	17727	4131
1622	17740	4120
1623	17750	4109
1624	17764	4099
1625	17775	4088
1626	17785	4077
1627	17795	4066
1628	17810	4056
1629	17820	4045
1630	17830	4034
1631	17838	4022
1632	17852	4012
1633	17864	4001
1634	17874	3990
1635	17881	3978
1636	17896	3968
1637	17904	3956
1638	17910	3944
1639	17916	3932
