iter	Passed	Remaining
0	21	43237
1	41	41864
2	57	38320
3	72	36009
4	85	33943
5	94	31416
6	105	29960
7	116	29091
8	128	28436
9	143	28594
10	174	31588
11	184	30591
12	199	30500
13	209	29733
14	225	29832
15	236	29346
16	252	29479
17	267	29500
18	280	29235
19	294	29157
20	313	29575
21	322	29025
22	332	28592
23	344	28387
24	357	28279
25	369	28023
26	380	27811
27	391	27563
28	405	27541
29	421	27709
30	435	27648
31	447	27503
32	457	27299
33	468	27090
34	480	26993
35	492	26852
36	504	26761
37	516	26665
38	529	26642
39	545	26726
40	557	26638
41	569	26531
42	578	26342
43	588	26160
44	598	25999
45	609	25892
46	619	25753
47	630	25653
48	639	25455
49	650	25362
50	662	25315
51	672	25186
52	683	25100
53	697	25119
54	709	25090
55	721	25056
56	732	24977
57	747	25039
58	759	24973
59	769	24893
60	781	24826
61	790	24702
62	799	24570
63	808	24465
64	818	24363
65	827	24241
66	837	24163
67	848	24099
68	859	24063
69	874	24114
70	891	24221
71	905	24255
72	918	24247
73	929	24180
74	942	24181
75	954	24175
76	966	24133
77	979	24131
78	990	24075
79	1002	24055
80	1014	24042
81	1026	24003
82	1037	23952
83	1045	23856
84	1057	23832
85	1066	23735
86	1076	23659
87	1094	23790
88	1114	23930
89	1128	23950
90	1142	23959
91	1156	23981
92	1165	23904
93	1179	23906
94	1196	23989
95	1210	24005
96	1223	24012
97	1237	24021
98	1249	23991
99	1262	23989
100	1278	24036
101	1289	23999
102	1299	23941
103	1314	23969
104	1329	23989
105	1342	23990
106	1355	23984
107	1365	23918
108	1376	23879
109	1388	23851
110	1403	23876
111	1416	23870
112	1428	23851
113	1442	23864
114	1458	23908
115	1471	23895
116	1482	23853
117	1494	23833
118	1508	23848
119	1520	23814
120	1536	23864
121	1547	23816
122	1559	23793
123	1572	23794
124	1585	23779
125	1597	23764
126	1611	23766
127	1627	23809
128	1638	23769
129	1652	23773
130	1664	23742
131	1675	23716
132	1692	23760
133	1704	23732
134	1721	23782
135	1734	23777
136	1747	23763
137	1760	23755
138	1773	23737
139	1785	23718
140	1795	23675
141	1804	23608
142	1817	23600
143	1829	23581
144	1849	23659
145	1868	23722
146	1882	23725
147	1898	23756
148	1915	23789
149	1934	23853
150	1944	23805
151	1956	23790
152	1969	23776
153	1982	23761
154	1992	23722
155	2003	23679
156	2015	23654
157	2028	23653
158	2041	23643
159	2054	23621
160	2066	23604
161	2079	23589
162	2092	23578
163	2117	23710
164	2133	23728
165	2146	23714
166	2159	23707
167	2173	23702
168	2190	23734
169	2201	23699
170	2214	23685
171	2227	23669
172	2240	23662
173	2253	23649
174	2265	23628
175	2278	23613
176	2292	23608
177	2305	23600
178	2317	23576
179	2329	23555
180	2341	23534
181	2352	23503
182	2368	23517
183	2381	23502
184	2392	23470
185	2405	23461
186	2419	23458
187	2434	23460
188	2445	23433
189	2456	23399
190	2469	23390
191	2485	23405
192	2509	23499
193	2523	23490
194	2543	23539
195	2557	23541
196	2572	23548
197	2588	23554
198	2603	23561
199	2614	23533
200	2631	23548
201	2645	23543
202	2659	23546
203	2671	23518
204	2682	23487
205	2692	23444
206	2701	23403
207	2716	23401
208	2727	23369
209	2737	23333
210	2747	23295
211	2758	23264
212	2768	23223
213	2778	23188
214	2790	23163
215	2801	23138
216	2815	23130
217	2827	23108
218	2843	23126
219	2856	23113
220	2875	23143
221	2887	23127
222	2903	23134
223	2918	23136
224	2933	23145
225	2946	23128
226	2965	23161
227	2980	23168
228	2991	23131
229	3013	23187
230	3028	23189
231	3041	23175
